,p,q,theta,Tice,Sensor_Name
2018-03-11 03:41:00,-15.843024819223313,-17.653658532940522,0.339871468956112,-9.05661,D
2018-03-11 03:42:00,-14.981121858531539,-17.518010499215293,0.29830214121996623,-9.057281,D
2018-03-11 03:43:00,-15.535104997928645,-17.640911369971153,0.37330941081664815,-9.058014,D
2018-03-11 03:44:00,-14.896700486565955,-17.481280804169092,0.3234641347837386,-9.058899,D
2018-03-11 03:45:00,-14.547419329165859,-17.42457414113478,0.3261595655834155,-9.059662,D
2018-03-11 03:46:00,-14.319840181775298,-17.446087983860895,0.32624548920338614,-9.060425,D
2018-03-11 03:47:00,-13.894801267010145,-17.443522390246656,0.3226665613970068,-9.061188,D
2018-03-11 03:48:00,-15.438107411594672,-17.643005458889306,0.3020106650304495,-9.062073,D
2018-03-11 03:49:00,-15.852488220696877,-17.684506082135247,0.3509128776034569,-9.062897,D
2018-03-11 03:50:00,-15.603233508301154,-17.626789599534163,0.3093720341660664,-9.063599,D
2018-03-11 03:51:00,-15.397205894671355,-17.601563566490743,0.3255119688525252,-9.064484,D
2018-03-11 03:52:00,-14.964211771800528,-17.65741554132588,0.3401468938553329,-9.065247,D
2018-03-11 03:53:00,-16.03797275811671,-17.885796480300275,0.2664275230489388,-9.065979,D
2018-03-11 03:54:00,-15.776287897070064,-17.918849453721485,0.2805841057961731,-9.066833,D
2018-03-11 03:55:00,-15.114084370522576,-17.59063390760205,0.3534914752467828,-9.067352,D
2018-03-11 03:56:00,-14.69395221485637,-17.800748159893104,0.22331936258701135,-9.068359,D
2018-03-11 03:57:00,-16.101630368197792,-18.0042599879022,0.3021668030463931,-9.069061,D
2018-03-11 03:58:00,-14.483718409468016,-17.612017666242515,0.25388348439416597,-9.069916,D
2018-03-11 03:59:00,-15.205225229662354,-17.84852195121727,0.16999229340452593,-9.070648,D
2018-03-11 04:00:00,-15.106684996514124,-17.810142052314884,0.2305077430751581,-9.071411,D
2018-03-11 04:01:00,-14.23498596691231,-17.581224845835706,0.24684908066501188,-9.072144,D
2018-03-11 04:02:00,-15.069008787360737,-17.854738560511837,0.23845742523022384,-9.073059,D
2018-03-11 04:03:00,-14.978909213917717,-17.783003803543842,0.19598085980694901,-9.0737,D
2018-03-11 04:04:00,-15.080424199053976,-17.948763021074416,0.20971705712578737,-9.074524,D
2018-03-11 04:05:00,-14.19126645115996,-17.5551888061683,0.2698675715798078,-9.075226,D
2018-03-11 04:06:00,-15.821291256628228,-17.99503979210508,0.278572984222923,-9.076111,D
2018-03-11 04:07:00,-15.396009805893696,-17.859033650279283,0.35763550105450914,-9.076843,D
2018-03-11 04:08:00,-15.487966420655221,-17.95847433049359,0.35998590496263216,-9.077698,D
2018-03-11 04:09:00,-16.02031129750167,-18.064434263895258,0.2719405629790346,-9.078583,D
2018-03-11 04:10:00,-17.298228530337564,-18.253567585181507,0.27323293237422464,-9.079285,D
2018-03-11 04:11:00,-16.807693103050035,-18.02719446759465,0.5531099037417089,-9.080109,D
2018-03-11 04:12:00,-16.162651581581372,-17.949791212039717,0.4507088394305493,-9.080902,D
2018-03-11 04:13:00,-17.115357677275014,-18.15362588611084,0.30230001785069516,-9.081573,D
2018-03-11 04:14:00,-17.180290009769486,-18.02275831159766,0.3323154055679385,-9.082367,D
2018-03-11 04:15:00,-17.02221055733893,-18.17045934478292,0.5413848176587309,-9.083221,D
2018-03-11 04:16:00,-17.39455865416134,-18.133245644933343,0.4920829661494439,-9.083984,D
